symbol,sector,industry,source
KISSHT,Financial Services,Credit Services,yahoo
KITEX,Consumer Cyclical,Apparel Manufacturing,yahoo
KLBRENG-B,Industrials,Specialty Industrial Machinery,yahoo
KMEW,Industrials,Marine Shipping,yahoo
KNACK,Consumer Cyclical,Packaging & Containers,yahoo
KNRCON,Industrials,Engineering & Construction,yahoo
KOTAKBANK,Financial Services,Banks - Regional,yahoo
KPEL,Industrials,Engineering & Construction,yahoo
KPIGREEN,Utilities,Utilities - Renewable,yahoo
KPIL,Industrials,Engineering & Construction,yahoo
KPITTECH,Technology,Software - Infrastructure,yahoo
KPL,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
KPRMILL,Consumer Cyclical,Textile Manufacturing,yahoo
KRBL,Consumer Defensive,Packaged Foods,yahoo
KRISHANA,Basic Materials,Agricultural Inputs,yahoo
KRISHNADEF,Industrials,Specialty Industrial Machinery,yahoo
KRN,Technology,Electronic Components,yahoo
KRONOX,Basic Materials,Specialty Chemicals,yahoo
KROSS,Consumer Cyclical,Auto Parts,yahoo
KSB,Industrials,Specialty Industrial Machinery,yahoo
KSCL,Basic Materials,Agricultural Inputs,yahoo
KSHINTL,Industrials,Electrical Equipment & Parts,yahoo
KTKBANK,Financial Services,Banks - Regional,yahoo
KUSUMGAR,Consumer Cyclical,Textile Manufacturing,yahoo
KWIL,Consumer Defensive,Packaged Foods,yahoo
LALPATHLAB,Healthcare,Diagnostics & Research,yahoo
LASERPOWER,Industrials,Electrical Equipment & Parts,yahoo
LATENTVIEW,Industrials,Consulting Services,yahoo
LAURUSLABS,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
LCL,Industrials,Specialty Industrial Machinery,yahoo
LEAPIND,Industrials,Integrated Freight & Logistics,yahoo
LEMONTREE,Consumer Cyclical,Lodging,yahoo
LENSKART,Healthcare,Medical Instruments & Supplies,yahoo
LGEINDIA,Technology,Consumer Electronics,yahoo
LICHSGFIN,Financial Services,Mortgage Finance,yahoo
LICI,Financial Services,Insurance - Life,yahoo
LINDEINDIA,Basic Materials,Specialty Chemicals,yahoo
LIQGRWBEES,Etf,EQUITY,yahoo
LIQUID,Etf,EQUITY,yahoo
LIQUID1,Etf,EQUITY,yahoo
LIQUIDADD,Etf,EQUITY,yahoo
LIQUIDBEES,Etf,EQUITY,yahoo
LIQUIDBETF,Etf,EQUITY,yahoo
LIQUIDCASE,Etf,EQUITY,yahoo
LIQUIDETF,Etf,EQUITY,yahoo
LIQUIDIETF,Etf,EQUITY,yahoo
LIQUIDPLUS,Etf,EQUITY,yahoo
LLOYDSENGG,Industrials,Specialty Industrial Machinery,yahoo
LLOYDSENT,Basic Materials,Steel,yahoo
LLOYDSME,Basic Materials,Steel,yahoo
LMW,Industrials,Specialty Industrial Machinery,yahoo
LODHA,Real Estate,Real Estate - Development,yahoo
LT,Industrials,Engineering & Construction,yahoo
LTF,Financial Services,Credit Services,yahoo
LTFOODS,Consumer Defensive,Packaged Foods,yahoo
LTM,Technology,Information Technology Services,yahoo
LTTS,Technology,Information Technology Services,yahoo
LUMAXTECH,Consumer Cyclical,Auto Parts,yahoo
LUPIN,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
LXCHEM,Basic Materials,Specialty Chemicals,yahoo
M&M,Consumer Cyclical,Auto Manufacturers,yahoo
M&MFIN,Financial Services,Credit Services,yahoo
MACPOWER,Industrials,Specialty Industrial Machinery,yahoo
MAGADSUGAR,Consumer Defensive,Confectioners,yahoo
MAHABANK,Financial Services,Banks - Regional,yahoo
MAHSEAMLES,Basic Materials,Steel,yahoo
MANALIPETC,Basic Materials,Specialty Chemicals,yahoo
MANAPPURAM,Financial Services,Credit Services,yahoo
MANGLMCEM,Basic Materials,Building Materials,yahoo
MANINDS,Basic Materials,Steel,yahoo
MANINFRA,Industrials,Engineering & Construction,yahoo
MANIPALHOS,Healthcare,Medical Care Facilities,yahoo
MANKIND,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
MANORAMA,Consumer Defensive,Packaged Foods,yahoo
MANYAVAR,Consumer Cyclical,Apparel Manufacturing,yahoo
MAPMYINDIA,Technology,Software - Infrastructure,yahoo
MARICO,Consumer Defensive,Household & Personal Products,yahoo
MARINE,Industrials,Electrical Equipment & Parts,yahoo
MARKSANS,Healthcare,Drug Manufacturers - General,yahoo
MARSONS,Industrials,Electrical Equipment & Parts,yahoo
MARUTI,Consumer Cyclical,Auto Manufacturers,yahoo
MASTEK,Technology,Information Technology Services,yahoo
MAWANASUG,Consumer Defensive,Confectioners,yahoo
MAXESTATES,Real Estate,Real Estate - Development,yahoo
MAXHEALTH,Healthcare,Medical Care Facilities,yahoo
MAYURUNIQ,Consumer Cyclical,Textile Manufacturing,yahoo
MAZDOCK,Industrials,Aerospace & Defense,yahoo
MBAPL,Basic Materials,Agricultural Inputs,yahoo
MCLOUD,Technology,Information Technology Services,yahoo
MCX,Financial Services,Financial Data & Stock Exchanges,yahoo
MEDANTA,Healthcare,Medical Care Facilities,yahoo
MEDPLUS,Healthcare,Pharmaceutical Retailers,yahoo
MEESHO,Consumer Cyclical,Internet Retail,yahoo
METROPOLIS,Healthcare,Diagnostics & Research,yahoo
MFSL,Financial Services,Insurance - Life,yahoo
MGL,Utilities,Utilities - Regulated Gas,yahoo
MID150BEES,Etf,EQUITY,yahoo
MIDHANI,Basic Materials,Steel,yahoo
MILKYMIST,Consumer Defensive,Packaged Foods,yahoo
MINDACORP,Consumer Cyclical,Auto Parts,yahoo
MMFL,Industrials,Metal Fabrication,yahoo
MMP,Basic Materials,Aluminum,yahoo
MMTC,Industrials,Conglomerates,yahoo
MOBIKWIK,Technology,Software - Infrastructure,yahoo
MODEFENCE,Etf,EQUITY,yahoo
MOIL,Basic Materials,Other Industrial Metals & Mining,yahoo
MOL,Basic Materials,Agricultural Inputs,yahoo
MOLBIO,Healthcare,Medical Devices,yahoo
MON100,Etf,EQUITY,yahoo
MOREPENLAB,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
MOSCHIP,Technology,Semiconductor Equipment & Materials,yahoo
MOTHERSON,Consumer Cyclical,Auto Parts,yahoo
MOTILALOFS,Financial Services,Capital Markets,yahoo
MPHASIS,Technology,Information Technology Services,yahoo
MPSLTD,Communication Services,Publishing,yahoo
MRF,Consumer Cyclical,Auto Parts,yahoo
MRPL,Energy,Oil & Gas Refining & Marketing,yahoo
MSTCLTD,Industrials,Conglomerates,yahoo
MSUMI,Consumer Cyclical,Auto Parts,yahoo
MUFIN,Financial Services,Credit Services,yahoo
MUNJALAU,Consumer Cyclical,Auto Parts,yahoo
MUTHOOTFIN,Financial Services,Credit Services,yahoo
MVELECTRO,Industrials,Electrical Equipment & Parts,yahoo
NAM-INDIA,Financial Services,Asset Management,yahoo
NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
NATIONALUM,Basic Materials,Aluminum,yahoo
NAUKRI,Communication Services,Internet Content & Information,yahoo
NAVA,Industrials,Conglomerates,yahoo
NAVINFLUOR,Basic Materials,Chemicals,yahoo
NAZARA,Communication Services,Electronic Gaming & Multimedia,yahoo
NBCC,Industrials,Engineering & Construction,yahoo
NCC,Industrials,Engineering & Construction,yahoo
NELCO,Technology,Communication Equipment,yahoo
NEOGEN,Basic Materials,Specialty Chemicals,yahoo
NEPHROPLUS,Healthcare,Medical Care Facilities,yahoo
NESTLEIND,Consumer Defensive,Packaged Foods,yahoo
NETWEB,Technology,Computer Hardware,yahoo
NETWORK18,Communication Services,Entertainment,yahoo
NEULANDLAB,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
NEWGEN,Technology,Software - Infrastructure,yahoo
NH,Healthcare,Medical Care Facilities,yahoo
NHPC,Utilities,Utilities - Renewable,yahoo
NIACL,Financial Services,Insurance - Diversified,yahoo
NIBE,Industrials,Conglomerates,yahoo
NIFTYBEES,Etf,EQUITY,yahoo
NIFTYETF,Etf,EQUITY,yahoo
NIFTYIETF,Etf,EQUITY,yahoo
NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
NLCINDIA,Utilities,Utilities - Regulated Electric,yahoo
NMDC,Basic Materials,Steel,yahoo
NORTHARC,Financial Services,Credit Services,yahoo
NRBBEARING,Consumer Cyclical,Auto Parts,yahoo
NSLNISP,Basic Materials,Steel,yahoo
NTPC,Utilities,Utilities - Regulated Electric,yahoo
NTPCGREEN,Utilities,Utilities - Renewable,yahoo
NUVAMA,Financial Services,Asset Management,yahoo
NYKAA,Consumer Cyclical,Internet Retail,yahoo
OBEROIRLTY,Real Estate,Real Estate - Development,yahoo
OFSS,Technology,Software - Infrastructure,yahoo
OIL,Energy,Oil & Gas Integrated,yahoo
OLAELEC,Consumer Cyclical,Auto Manufacturers,yahoo
OLECTRA,Industrials,Farm & Heavy Construction Machinery,yahoo
OMAXE,Real Estate,Real Estate - Development,yahoo
OMNI,Industrials,Specialty Industrial Machinery,yahoo
ONESOURCE,Healthcare,Biotechnology,yahoo
ONGC,Energy,Oil & Gas Integrated,yahoo
ORCHPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ORIENTHOT,Consumer Cyclical,Lodging,yahoo
OSWALPUMPS,Industrials,Electrical Equipment & Parts,yahoo
PACEDIGITK,Technology,Communication Equipment,yahoo
PAGEIND,Consumer Cyclical,Apparel Manufacturing,yahoo
PAISALO,Financial Services,Credit Services,yahoo
PANACEABIO,Healthcare,Biotechnology,yahoo
PANAMAPET,Energy,Oil & Gas Refining & Marketing,yahoo
PARACABLES,Technology,Communication Equipment,yahoo
PARADEEP,Basic Materials,Agricultural Inputs,yahoo
PARAGMILK,Consumer Defensive,Packaged Foods,yahoo
PARAS,Industrials,Aerospace & Defense,yahoo
PARKHOSPS,Healthcare,Medical Care Facilities,yahoo
PATANJALI,Consumer Defensive,Packaged Foods,yahoo
PAYTM,Technology,Software - Infrastructure,yahoo
PCBL,Basic Materials,Specialty Chemicals,yahoo
PENIND,Industrials,Specialty Industrial Machinery,yahoo
PERSISTENT,Technology,Information Technology Services,yahoo
PETRONET,Energy,Oil & Gas Refining & Marketing,yahoo
PFC,Financial Services,Credit Services,yahoo
PFIZER,Healthcare,Drug Manufacturers - General,yahoo
PFOCUS,Communication Services,Entertainment,yahoo
PGEL,Technology,Electronic Components,yahoo
PGHH,Consumer Defensive,Household & Personal Products,yahoo
PGHL,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
PGIL,Consumer Cyclical,Apparel Manufacturing,yahoo
PHARMABEES,Etf,EQUITY,yahoo
PHOENIXLTD,Real Estate,Real Estate - Diversified,yahoo
PICCADIL,Consumer Defensive,Beverages - Wineries & Distilleries,yahoo
PIDILITIND,Basic Materials,Specialty Chemicals,yahoo
PIIND,Basic Materials,Agricultural Inputs,yahoo
PINELABS,Technology,Software - Infrastructure,yahoo
PIRAMALFIN,Financial Services,Credit Services,yahoo
PITTIENG,Industrials,Metal Fabrication,yahoo
PNB,Financial Services,Banks - Regional,yahoo
PNBHOUSING,Financial Services,Mortgage Finance,yahoo
PNCINFRA,Industrials,Engineering & Construction,yahoo
PNGJL,Consumer Cyclical,Luxury Goods,yahoo
PNGSREVA,Consumer Cyclical,Luxury Goods,yahoo
POCL,Basic Materials,Specialty Chemicals,yahoo
POLICYBZR,Financial Services,Insurance Brokers,yahoo
POLYCAB,Industrials,Electrical Equipment & Parts,yahoo
POLYMED,Healthcare,Medical Instruments & Supplies,yahoo
POLYPLEX,Basic Materials,Specialty Chemicals,yahoo
PONNIERODE,Consumer Defensive,Confectioners,yahoo
POONAWALLA,Financial Services,Credit Services,yahoo
POWERGRID,Utilities,Utilities - Regulated Electric,yahoo
POWERICA,Industrials,Specialty Industrial Machinery,yahoo
POWERINDIA,Industrials,Electrical Equipment & Parts,yahoo
POWERMECH,Industrials,Engineering & Construction,yahoo
PPLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
PRABHA,Energy,Oil & Gas E&P,yahoo
PRAJIND,Industrials,Engineering & Construction,yahoo
PRECWIRE,Industrials,Electrical Equipment & Parts,yahoo
PREMEXPLN,Basic Materials,Specialty Chemicals,yahoo
PREMIERENE,Technology,Solar,yahoo
PREMIERPOL,Basic Materials,Specialty Chemicals,yahoo
PRESTIGE,Real Estate,Real Estate - Diversified,yahoo
PRICOLLTD,Consumer Cyclical,Auto Parts,yahoo
PRIVISCL,Basic Materials,Specialty Chemicals,yahoo
PROTEAN,Technology,Information Technology Services,yahoo
PRSMJOHNSN,Basic Materials,Building Materials,yahoo
PSUBNKBEES,Etf,EQUITY,yahoo
PTC,Utilities,Utilities - Independent Power Producers,yahoo
PTCIL,Industrials,Metal Fabrication,yahoo
PURVA,Real Estate,Real Estate - Development,yahoo
PVP,Industrials,Conglomerates,yahoo
PVRINOX,Communication Services,Entertainment,yahoo
PWL,Consumer Defensive,Education & Training Services,yahoo
QPOWER,Industrials,Electrical Equipment & Parts,yahoo
QUADFUTURE,Industrials,Railroads,yahoo
QUESS,Industrials,Staffing & Employment Services,yahoo
RACLGEAR,Consumer Cyclical,Auto Parts,yahoo
RADICO,Consumer Defensive,Beverages - Wineries & Distilleries,yahoo
RAILTEL,Communication Services,Telecom Services,yahoo
RAIN,Basic Materials,Specialty Chemicals,yahoo
RAINBOW,Healthcare,Medical Care Facilities,yahoo
RALLIS,Basic Materials,Agricultural Inputs,yahoo
RAMCOCEM,Basic Materials,Building Materials,yahoo
RAMCOSYS,Technology,Software - Application,yahoo
RAMRAT,Industrials,Electrical Equipment & Parts,yahoo
RATEGAIN,Technology,Software - Application,yahoo
RATNAMANI,Basic Materials,Steel,yahoo
RATNAVEER,Basic Materials,Steel,yahoo
RAYMOND,Industrials,Specialty Industrial Machinery,yahoo
RAYMONDLSL,Consumer Cyclical,Apparel Manufacturing,yahoo
RAYMONDREL,Real Estate,Real Estate - Development,yahoo
RBA,Consumer Cyclical,Restaurants,yahoo
RBLBANK,Financial Services,Banks - Regional,yahoo
RCF,Basic Materials,Agricultural Inputs,yahoo
RECLTD,Financial Services,Credit Services,yahoo
REDINGTON,Technology,Information Technology Services,yahoo
RELAXO,Consumer Cyclical,Footwear & Accessories,yahoo
RELIANCE,Energy,Oil & Gas Refining & Marketing,yahoo
RELIGARE,Financial Services,Insurance - Life,yahoo
RENUKA,Consumer Defensive,Confectioners,yahoo
RGL,Consumer Cyclical,Luxury Goods,yahoo
RHETAN,Basic Materials,Steel,yahoo
RHIM,Industrials,Metal Fabrication,yahoo
RICOAUTO,Consumer Cyclical,Auto Parts,yahoo
RISHABH,Technology,Scientific & Technical Instruments,yahoo
RITES,Industrials,Engineering & Construction,yahoo
RKFORGE,Industrials,Metal Fabrication,yahoo
ROLEXRINGS,Industrials,Metal Fabrication,yahoo
ROSSTECH,Industrials,Aerospace & Defense,yahoo
ROUTE,Communication Services,Telecom Services,yahoo
RPEL,Basic Materials,Chemicals,yahoo
RPOWER,Utilities,Utilities - Independent Power Producers,yahoo
RPTECH,Technology,Electronics & Computer Distribution,yahoo
RRKABEL,Industrials,Electrical Equipment & Parts,yahoo
RUBICON,Healthcare,Drug Manufacturers - General,yahoo
RVNL,Industrials,Engineering & Construction,yahoo
SAGILITY,Healthcare,Health Information Services,yahoo
SAIL,Basic Materials,Steel,yahoo
SAILIFE,Healthcare,Diagnostics & Research,yahoo
SALSTEEL,Basic Materials,Steel,yahoo
SAMBHV,Basic Materials,Steel,yahoo
SAMHI,Consumer Cyclical,Lodging,yahoo
SAMMAANCAP,Financial Services,Mortgage Finance,yahoo
SANDHAR,Consumer Cyclical,Auto Parts,yahoo
SANDUMA,Basic Materials,Steel,yahoo
SANGHVIMOV,Industrials,Rental & Leasing Services,yahoo
SANSERA,Consumer Cyclical,Auto Parts,yahoo
SAPPHIRE,Consumer Cyclical,Restaurants,yahoo
SARDAEN,Basic Materials,Steel,yahoo
SAREGAMA,Communication Services,Entertainment,yahoo
SBC,Industrials,Conglomerates,yahoo
SBCL,Industrials,Metal Fabrication,yahoo
SBFC,Financial Services,Credit Services,yahoo
SBICARD,Financial Services,Credit Services,yahoo
SBIFUNDS,Financial Services,Asset Management,yahoo
SBILIFE,Financial Services,Insurance - Life,yahoo
SBIN,Financial Services,Banks - Regional,yahoo
SBISILVER,Etf,EQUITY,yahoo
SCHAEFFLER,Consumer Cyclical,Auto Parts,yahoo
SCHNEIDER,Industrials,Electrical Equipment & Parts,yahoo
SCI,Industrials,Marine Shipping,yahoo
SEAMECLTD,Industrials,Marine Shipping,yahoo
SEDEMAC,Consumer Cyclical,Auto Parts,yahoo
SENCO,Consumer Cyclical,Luxury Goods,yahoo
SENORES,Healthcare,Drug Manufacturers - General,yahoo
SETFGOLD,Etf,EQUITY,yahoo
SETFNIF50,Etf,EQUITY,yahoo
SETL,Industrials,Specialty Industrial Machinery,yahoo
SFL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
SGFIN,Financial Services,Capital Markets,yahoo
SGMART,Industrials,Industrial Distribution,yahoo
SHADOWFAX,Industrials,Integrated Freight & Logistics,yahoo
SHAILY,Basic Materials,Specialty Chemicals,yahoo
SHAKTIPUMP,Industrials,Specialty Industrial Machinery,yahoo
SHANTIGOLD,Consumer Cyclical,Luxury Goods,yahoo
SHARDACROP,Basic Materials,Agricultural Inputs,yahoo
SHAREINDIA,Financial Services,Capital Markets,yahoo
SHILCTECH,Industrials,Electrical Equipment & Parts,yahoo
SHILPAMED,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SHIPROCKET,Technology,Software - Application,yahoo
SHREECEM,Basic Materials,Building Materials,yahoo
SHREEJISPG,Industrials,Marine Shipping,yahoo
SHRINGARMS,Consumer Cyclical,Luxury Goods,yahoo
SHRIPISTON,Consumer Cyclical,Auto Parts,yahoo
SHRIRAMFIN,Financial Services,Credit Services,yahoo
SHYAMMETL,Basic Materials,Steel,yahoo
SIEMENS,Industrials,Specialty Industrial Machinery,yahoo
SIGACHI,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SIGMAADV,Industrials,Aerospace & Defense,yahoo
SIGNATURE,Real Estate,Real Estate - Development,yahoo
SILVER,Etf,EQUITY,yahoo
SILVER1,Etf,EQUITY,yahoo
SILVERAG,Etf,EQUITY,yahoo
SILVERAXIS,Etf,EQUITY,yahoo
SILVERBEES,Etf,EQUITY,yahoo
SILVERBETA,Etf,EQUITY,yahoo
SILVERCASE,Etf,EQUITY,yahoo
SILVERIETF,Etf,EQUITY,yahoo
SILVERTUC,Technology,Information Technology Services,yahoo
SIRCA,Basic Materials,Specialty Chemicals,yahoo
SIS,Industrials,Security & Protection Services,yahoo
SJS,Consumer Cyclical,Auto Parts,yahoo
SJVN,Utilities,Utilities - Renewable,yahoo
SKFINDIA,Industrials,Tools & Accessories,yahoo
SKFINDUS,Industrials,Tools & Accessories,yahoo
SKIPPER,Industrials,Engineering & Construction,yahoo
SKYGOLD,Consumer Cyclical,Luxury Goods,yahoo
SMLMAH,Consumer Cyclical,Auto Manufacturers,yahoo
SOBHA,Real Estate,Real Estate - Development,yahoo
SOLARA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SOLARINDS,Basic Materials,Specialty Chemicals,yahoo
SOMANYCERA,Industrials,Building Products & Equipment,yahoo
SONACOMS,Consumer Cyclical,Auto Parts,yahoo
SONATSOFTW,Technology,Information Technology Services,yahoo
SOTL,Basic Materials,Specialty Chemicals,yahoo
SOUTHBANK,Financial Services,Banks - Regional,yahoo
SOUTHWEST,Energy,Oil & Gas Equipment & Services,yahoo
SPARC,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SPORTKING,Consumer Cyclical,Textile Manufacturing,yahoo
SRF,Industrials,Conglomerates,yahoo
SSWL,Consumer Cyclical,Auto Parts,yahoo
STAR,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
STARCEMENT,Basic Materials,Building Materials,yahoo
STARHEALTH,Financial Services,Insurance - Life,yahoo
STOVEKRAFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
STYLAMIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
STYLEBAAZA,Consumer Cyclical,Apparel Retail,yahoo
STYRENIX,Basic Materials,Chemicals,yahoo
SUDARSCHEM,Basic Materials,Specialty Chemicals,yahoo
SUDEEPPHRM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SUMICHEM,Basic Materials,Agricultural Inputs,yahoo
SUNDARMFIN,Financial Services,Credit Services,yahoo
SUNDRMFAST,Consumer Cyclical,Auto Parts,yahoo
SUNPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SUNTV,Communication Services,Broadcasting,yahoo
SUPREMEIND,Industrials,Building Products & Equipment,yahoo
SUPRIYA,Healthcare,Biotechnology,yahoo
SURYAROSNI,Basic Materials,Steel,yahoo
SUVEN,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
SUZLON,Industrials,Specialty Industrial Machinery,yahoo
SWANCORP,Industrials,Conglomerates,yahoo
SWARAJ,Consumer Cyclical,Textile Manufacturing,yahoo
SWIGGY,Consumer Cyclical,Internet Retail,yahoo
SWSOLAR,Technology,Solar,yahoo
SYNGENE,Healthcare,Diagnostics & Research,yahoo
SYRMA,Technology,Electronic Components,yahoo
TALBROAUTO,Consumer Cyclical,Auto Parts,yahoo
TANLA,Technology,Software - Application,yahoo
TARC,Real Estate,Real Estate - Development,yahoo
TARIL,Industrials,Electrical Equipment & Parts,yahoo
TARSONS,Healthcare,Medical Instruments & Supplies,yahoo
TASTYBITE,Consumer Defensive,Packaged Foods,yahoo
TATACAP,Financial Services,Credit Services,yahoo
TATACHEM,Basic Materials,Chemicals,yahoo
TATACOMM,Communication Services,Telecom Services,yahoo
TATACONSUM,Consumer Defensive,Packaged Foods,yahoo
TATAELXSI,Technology,Software - Application,yahoo
TATAINVEST,Financial Services,Asset Management,yahoo
TATAPOWER,Utilities,Utilities - Independent Power Producers,yahoo
TATASTEEL,Basic Materials,Steel,yahoo
TATATECH,Technology,Information Technology Services,yahoo
TATVA,Basic Materials,Specialty Chemicals,yahoo
TBOTEK,Consumer Cyclical,Travel Services,yahoo
TBZ,Consumer Cyclical,Luxury Goods,yahoo
TCS,Technology,Information Technology Services,yahoo
TDPOWERSYS,Industrials,Specialty Industrial Machinery,yahoo
TECHM,Technology,Information Technology Services,yahoo
TECHNOCRAF,Industrials,Infrastructure Operations,yahoo
TECHNOE,Industrials,Engineering & Construction,yahoo
TEGA,Industrials,Specialty Industrial Machinery,yahoo
TEJASNET,Technology,Communication Equipment,yahoo
TEMBO,Industrials,Metal Fabrication,yahoo
TENNIND,Consumer Cyclical,Auto Parts,yahoo
TEXRAIL,Industrials,Railroads,yahoo
TFCILTD,Financial Services,Credit Services,yahoo
THANGAMAYL,Consumer Cyclical,Luxury Goods,yahoo
THELEELA,Consumer Cyclical,Lodging,yahoo
THERMAX,Industrials,Conglomerates,yahoo
THOMASCOOK,Consumer Cyclical,Travel Services,yahoo
THYROCARE,Healthcare,Diagnostics & Research,yahoo
TI,Consumer Defensive,Beverages - Wineries & Distilleries,yahoo
TIIL,Industrials,Tools & Accessories,yahoo
TIINDIA,Industrials,Conglomerates,yahoo
TIMETECHNO,Consumer Cyclical,Packaging & Containers,yahoo
TIMEX,Consumer Cyclical,Luxury Goods,yahoo
TIMKEN,Industrials,Tools & Accessories,yahoo
TIPSMUSIC,Communication Services,Entertainment,yahoo
TIRUMALCHM,Basic Materials,Specialty Chemicals,yahoo
TITAGARH,Industrials,Railroads,yahoo
TITAN,Consumer Cyclical,Luxury Goods,yahoo
TMB,Financial Services,Banks - Regional,yahoo
TMCV,Consumer Cyclical,Auto Manufacturers,yahoo
TMPV,Consumer Cyclical,Auto Manufacturers,yahoo
TNPETRO,Basic Materials,Specialty Chemicals,yahoo
TORNTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
TORNTPOWER,Utilities,Utilities - Independent Power Producers,yahoo
TRANSRAILL,Industrials,Engineering & Construction,yahoo
TRENT,Consumer Cyclical,Apparel Retail,yahoo
TRIDENT,Consumer Cyclical,Textile Manufacturing,yahoo
TRITURBINE,Industrials,Specialty Industrial Machinery,yahoo
TRIVENI,Consumer Defensive,Confectioners,yahoo
TRUALT,Energy,Oil & Gas Refining & Marketing,yahoo
TURTLEMINT,Financial Services,Insurance Brokers,yahoo
TVSMOTOR,Consumer Cyclical,Auto Manufacturers,yahoo
TVSSRICHAK,Consumer Cyclical,Auto Parts,yahoo
UBL,Consumer Defensive,Beverages - Brewers,yahoo
UFLEX,Consumer Cyclical,Packaging & Containers,yahoo
UGARSUGAR,Consumer Defensive,Confectioners,yahoo
UJJIVANSFB,Financial Services,Banks - Regional,yahoo
ULTRACEMCO,Basic Materials,Building Materials,yahoo
UNIMECH,Industrials,Aerospace & Defense,yahoo
UNIONBANK,Financial Services,Banks - Regional,yahoo
UNIPARTS,Industrials,Farm & Heavy Construction Machinery,yahoo
UNITDSPR,Consumer Defensive,Beverages - Wineries & Distilleries,yahoo
UNIVCABLES,Industrials,Electrical Equipment & Parts,yahoo
UNOMINDA,Consumer Cyclical,Auto Parts,yahoo
UPL,Basic Materials,Agricultural Inputs,yahoo
URBANCO,Technology,Software - Application,yahoo
USHAMART,Basic Materials,Steel,yahoo
UTLSOLAR,Technology,Solar,yahoo
UTTAMSUGAR,Consumer Defensive,Confectioners,yahoo
V2RETAIL,Consumer Cyclical,Apparel Retail,yahoo
VADILALIND,Consumer Defensive,Packaged Foods,yahoo
VAIBHAVGBL,Consumer Cyclical,Luxury Goods,yahoo
VAML,Basic Materials,Aluminum,yahoo
VARROC,Consumer Cyclical,Auto Parts,yahoo
VBL,Consumer Defensive,Beverages - Non-Alcoholic,yahoo
VEDL,Basic Materials,Other Industrial Metals & Mining,yahoo
VEDPOWER,Utilities,Utilities - Independent Power Producers,yahoo
VENUSPIPES,Basic Materials,Steel,yahoo
VERANDA,Consumer Defensive,Education & Training Services,yahoo
VGUARD,Industrials,Electrical Equipment & Parts,yahoo
VIJAYA,Healthcare,Diagnostics & Research,yahoo
VIKRAMSOLR,Technology,Solar,yahoo
VIKRAN,Industrials,Engineering & Construction,yahoo
VINCOFE,Consumer Defensive,Beverages - Non-Alcoholic,yahoo
VINDHYATEL,Industrials,Engineering & Construction,yahoo
VIPIND,Consumer Cyclical,Footwear & Accessories,yahoo
VISL,Basic Materials,Steel,yahoo
VIYASH,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
VMM,Consumer Cyclical,Department Stores,yahoo
VOGL,Basic Materials,Other Industrial Metals & Mining,yahoo
VOLTAMP,Industrials,Electrical Equipment & Parts,yahoo
VOLTAS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
VTL,Consumer Cyclical,Textile Manufacturing,yahoo
WAAREEENER,Technology,Solar,yahoo
WAAREERTL,Industrials,Engineering & Construction,yahoo
WABAG,Industrials,Engineering & Construction,yahoo
WAKEFIT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
WALCHANNAG,Industrials,Engineering & Construction,yahoo
WEBELSOLAR,Technology,Solar,yahoo
WEL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
WELCORP,Basic Materials,Steel,yahoo
WELENT,Industrials,Engineering & Construction,yahoo
WELSPUNLIV,Consumer Cyclical,Textile Manufacturing,yahoo
WESTLIFE,Consumer Cyclical,Restaurants,yahoo
WEWORK,Real Estate,Real Estate Services,yahoo
WHEELS,Consumer Cyclical,Auto Parts,yahoo
WHIRLPOOL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
WINDLAS,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
WIPRO,Technology,Information Technology Services,yahoo
